scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16594,16594,,WT,3m,21417003.abf,Video 6298.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417003.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6298.wmv,0.134,1.157
A,16594,16594,,WT,3m,21417004.abf,Video 6299.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417004.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6299.wmv,0.134,1.186
A,16594,16594,,WT,3m,21417005.abf,Video 6300.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417005.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6300.wmv,0.134,1.127
A,16594,16594,,WT,3m,21417006.abf,Video 6301.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417006.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6301.wmv,0.134,1.176
A,16594,16594,,WT,3m,21417007.abf,Video 6302.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417007.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6302.wmv,0.134,1.115
B,16594,165941,1.0,WT,3m,21416010.abf,Video 6291.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416010.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6291.wmv,0.134,0.524
B,16594,165941,1.0,WT,3m,21416011.abf,Video 6292.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416011.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6292.wmv,0.134,1.171
B,16594,165941,1.0,WT,3m,21416012.abf,Video 6293.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416012.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6293.wmv,0.134,1.368
B,16594,165941,1.0,WT,3m,21416013.abf,Video 6294.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416013.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6294.wmv,0.134,1.366
B,16594,165941,1.0,WT,3m,21417000.abf,Video 6295.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417000.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6295.wmv,0.134,1.331
B,16594,165941,1.0,WT,3m,21417001.abf,Video 6296.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417001.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6296.wmv,0.134,1.237
B,16594,165942,2.0,WT,3m,21417002.abf,Video 6297.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417002.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6297.wmv,0.134,1.203
B,16594,165942,2.0,WT,3m,21417003.abf,Video 6298.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417003.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6298.wmv,0.134,1.157
B,16594,165942,2.0,WT,3m,21417004.abf,Video 6299.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417004.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6299.wmv,0.134,1.186
B,16594,165942,2.0,WT,3m,21417005.abf,Video 6300.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417005.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6300.wmv,0.134,1.127
B,16594,165942,2.0,WT,3m,21417006.abf,Video 6301.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417006.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6301.wmv,0.134,1.176
B,16594,165942,2.0,WT,3m,21417007.abf,Video 6302.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417007.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6302.wmv,0.134,1.115
A,16596,16596,,WT,3m,21414011.abf,Video 6268.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414011.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6268.wmv,0.134,0.578
A,16596,16596,,WT,3m,21414012.abf,Video 6269.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414012.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6269.wmv,0.134,1.175
A,16596,16596,,WT,3m,21414013.abf,Video 6270.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414013.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6270.wmv,0.134,1.411
A,16596,16596,,WT,3m,21414014.abf,Video 6271.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414014.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6271.wmv,0.134,1.452
A,16596,16596,,WT,3m,21414015.abf,Video 6272.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414015.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6272.wmv,0.134,1.434
A,16596,16596,,WT,3m,21415000.abf,Video 6273.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21415000.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6273.wmv,0.134,1.274
A,16596,16596,,WT,3m,21415001.abf,Video 6274.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21415001.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6274.wmv,0.134,0.925
A,16596,16596,,WT,3m,21415002.abf,Video 6275.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21415002.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6275.wmv,0.134,0.394
B,16596,165961,1.0,WT,3m,21414011.abf,Video 6268.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414011.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6268.wmv,0.134,0.578
B,16596,165961,1.0,WT,3m,21414012.abf,Video 6269.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414012.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6269.wmv,0.134,1.175
B,16596,165961,1.0,WT,3m,21414013.abf,Video 6270.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414013.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6270.wmv,0.134,1.411
B,16596,165961,1.0,WT,3m,21414014.abf,Video 6271.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414014.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6271.wmv,0.134,1.452
B,16596,165962,2.0,WT,3m,21414015.abf,Video 6272.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21414015.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6272.wmv,0.134,1.434
B,16596,165962,2.0,WT,3m,21415000.abf,Video 6273.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21415000.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6273.wmv,0.134,1.274
B,16596,165962,2.0,WT,3m,21415001.abf,Video 6274.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\21415001.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16596_14Apr21\Video 6274.wmv,0.134,0.925
