scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16645,16645,,WT,6m,21702000.abf,Video 9482.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21702000.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9482.wmv,0.134,0.904
A,16645,16645,,WT,6m,21702001.abf,Video 9484.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21702001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9484.wmv,0.134,0.824
A,16645,16645,,WT,6m,21702002.abf,Video 9486.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21702002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9486.wmv,0.134,0.811
A,16645,16645,,WT,6m,21702003.abf,Video 9488.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21702003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9488.wmv,0.134,0.699
A,16645,16645,,WT,6m,21702004.abf,Video 9490.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21702004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9490.wmv,0.134,0.817
A,16653,16653,,WT,6m,21703009.abf,Video 6631.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21703009.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6631.wmv,0.134,0.849
A,16653,16653,,WT,6m,21703010.abf,Video 6632.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21703010.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6632.wmv,0.134,1.057
A,16653,16653,,WT,6m,21703011.abf,Video 6633.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21703011.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6633.wmv,0.134,1.1
A,16653,16653,,WT,6m,21703012.abf,Video 6634.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21703012.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6634.wmv,0.134,1.154
A,16653,16653,,WT,6m,21704000.abf,Video 6635.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704000.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6635.wmv,0.134,1.129
