session_id,group,timepoint,abf_file,n_epochs,pct_wake,pct_nrem,pct_rem,animal_id
166532,WT,12m,22216011.abf,1800,57.166666666666664,42.833333333333336,0.0,16653
166532,WT,12m,22217000.abf,1800,55.333333333333336,44.666666666666664,0.0,16653
166532,WT,12m,22217001.abf,1800,58.55555555555556,41.44444444444444,0.0,16653
166532,WT,12m,22217002.abf,1800,64.77777777777777,35.0,0.2222222222222222,16653
166532,WT,12m,22217003.abf,1800,69.61111111111111,30.388888888888886,0.0,16653
166532,WT,12m,22217004.abf,1800,56.49999999999999,43.5,0.0,16653
166532,WT,12m,22217005.abf,1800,64.22222222222223,35.77777777777777,0.0,16653
166532,WT,12m,22217006.abf,1800,60.111111111111114,39.88888888888889,0.0,16653
166532,WT,12m,22217007.abf,1192,58.4731543624161,41.52684563758389,0.0,16653
166532,WT,12m,22217008.abf,1800,55.111111111111114,44.888888888888886,0.0,16653
166532,WT,12m,22217009.abf,1800,63.11111111111111,36.888888888888886,0.0,16653
166532,WT,12m,22217010.abf,1800,55.666666666666664,44.333333333333336,0.0,16653
166532,WT,12m,22217011.abf,1800,61.83333333333333,35.05555555555556,3.111111111111111,16653
166532,WT,12m,22218000.abf,1800,69.55555555555556,29.166666666666668,1.277777777777778,16653
166532,WT,12m,22218001.abf,1800,68.66666666666667,29.777777777777775,1.5555555555555556,16653
166581,WT,12m,22228001.abf,1800,57.833333333333336,42.16666666666667,0.0,16658
166581,WT,12m,22228002.abf,1800,56.333333333333336,43.666666666666664,0.0,16658
166581,WT,12m,22228003.abf,1800,61.111111111111114,38.88888888888889,0.0,16658
166581,WT,12m,22228004.abf,1800,60.83333333333333,39.166666666666664,0.0,16658
166581,WT,12m,22301000.abf,1800,63.94444444444445,35.55555555555556,0.5,16658
166581,WT,12m,22301001.abf,1800,56.166666666666664,43.72222222222222,0.1111111111111111,16658
166581,WT,12m,22301002.abf,1800,56.611111111111114,43.388888888888886,0.0,16658
166581,WT,12m,22301003.abf,1799,75.37520844913841,24.569205113952194,0.055586436909394105,16658
166581,WT,12m,22301004.abf,1800,77.0,22.88888888888889,0.1111111111111111,16658
166581,WT,12m,22301005.abf,1800,63.888888888888886,36.05555555555556,0.05555555555555555,16658
166581,WT,12m,22301007.abf,1800,68.94444444444444,31.055555555555554,0.0,16658
166581,WT,12m,22301008.abf,1800,69.27777777777779,30.72222222222222,0.0,16658
166582,WT,12m,22301009.abf,1800,70.5,29.5,0.0,16658
