animal_id,session_id,group,timepoint,wake_bp_delta,wake_bp_theta,wake_bp_alpha,wake_bp_beta,wake_bp_gamma,wake_n_epochs,nrem_bp_delta,nrem_bp_theta,nrem_bp_alpha,nrem_bp_beta,nrem_bp_gamma,nrem_n_epochs,rem_bp_delta,rem_bp_theta,rem_bp_alpha,rem_bp_beta,rem_bp_gamma,rem_n_epochs,all_bp_delta,all_bp_theta,all_bp_alpha,all_bp_beta,all_bp_gamma,all_n_epochs
16596,165962,WT,3m,0.3175722164611945,0.22731932247061407,0.133506133746899,0.13118797969122467,0.10220372751640468,1191,0.42366278940481183,0.21845088169893825,0.13422703680842238,0.10923420355400565,0.06625940957392833,432,0.1579943029274964,0.4211884317967972,0.17337554398845414,0.11732532082136947,0.0861150052371609,177.0,0.3273421258035156,0.2442546924358199,0.13759964248875084,0.12455591196275634,0.09199503351941803,1800
16596,165962,WT,3m,0.38181211156977474,0.22357020283871465,0.11779538787892418,0.117005377620378,0.07654941204069854,1146,0.5144473301118636,0.186177582145563,0.10189739851004771,0.08494349199484,0.04407634009556427,405,0.190354447642604,0.42134886268025856,0.1650050810436949,0.11343008105727495,0.06769665054420833,249.0,0.3851700588984861,0.24251624446083575,0.12074901449205361,0.10929687066340271,0.06801833884602884,1800
16640,166401,WT,3m,0.6209243358484445,0.16376657943273884,0.07641639832257004,0.06040792456557942,0.00799156364482785,1056,0.7693671900510987,0.08347739325988067,0.04042881870591127,0.01738700603091618,0.001618367007087268,579,0.4589182539625354,0.3253965551728129,0.11796274016691517,0.052779066353497876,0.004834484971250396,165.0,0.6538228964440899,0.15275630565664294,0.0686488082149431,0.045870217100821946,0.005652119847943362,1800
16640,166401,WT,3m,0.5631589787889724,0.14209626799184039,0.07677253610386468,0.14321820115501524,0.009803914732968452,987,0.719919621796971,0.09916025028708446,0.0629740640677008,0.03574210001075181,0.002687015698267247,466,0.37410497672877424,0.3151591402565327,0.1596379953093287,0.11924142989111035,0.009777306877763892,344.0,0.5676196815897622,0.16409150661656932,0.08905724951389654,0.11075750418895512,0.007953259166824251,1797
16640,166401,WT,3m,0.5552058386305594,0.2046588321369324,0.09666222842927506,0.07762050020587344,0.011613744243104795,1115,0.670811822570718,0.13932879659107963,0.08193971528974514,0.05300028549426628,0.006191816413671845,486,0.35863523544465403,0.37974170363335347,0.15052966791290823,0.07917496421282602,0.010189671926178439,199.0,0.5646874820532939,0.20637610666610096,0.09864249458007031,0.07114489686561926,0.009992384623008818,1800
16640,166401,WT,3m,0.5859863094079295,0.17507172014703754,0.09344738251385025,0.07538551022513622,0.010296386677366907,1076,0.7008603836563437,0.11406948392068117,0.07311203930272507,0.043179662335375374,0.0047258721602574105,502,0.3994624015777989,0.3361245419915756,0.14447179660067638,0.08192893694554496,0.010968161066819863,222.0,0.5950187970381601,0.17792205562695781,0.09406909231123389,0.06721067972028667,0.008825684247850013,1800
16640,166401,WT,3m,0.634225530523464,0.1468743847245542,0.08360570555355451,0.05832032516853247,0.00748442874657508,1041,0.7515280022533959,0.08828789315162017,0.05161141539045996,0.026197664803737135,0.002496070382967044,529,0.4977034909148477,0.28162159232599543,0.1212165745465856,0.06639104446751859,0.00746826313712625,230.0,0.6512549407652153,0.14687416456135943,0.07900877242695459,0.04991109078286028,0.006016340044062923,1800
16640,166401,WT,3m,0.5259817902294767,0.21424494907430003,0.11134357342977921,0.08661745365363006,0.012851733669186852,1115,0.6391520161432683,0.16411212958441682,0.08863250212529872,0.06839574282411938,0.007916726544751361,481,0.31011710883702176,0.3941323938479783,0.16231999851218057,0.10366323117511735,0.013963826543476542,204.0,0.531758725596406,0.22123558938496476,0.11105199866275409,0.08368006237884604,0.0116590272911322,1800
16640,166402,WT,3m,0.53006863360194,0.20523816381420387,0.11752801200918295,0.0861571755711905,0.010113701446466094,1143,0.6475982810586228,0.14546896314463542,0.08945299088105482,0.06467683070069878,0.0064626747067406875,467,0.32011486714846615,0.39664905648016896,0.14978773602685558,0.1027110185267147,0.012571280126413238,190.0,0.5383992612331127,0.20993585986633997,0.11364929684058403,0.08233156951954047,0.009425873925209534,1800
16640,166402,WT,3m,0.5491813473196449,0.18697153804877079,0.10354871823819481,0.08994689869073473,0.011788920006535749,1091,0.6725414526047707,0.12997779741464913,0.0770820180093748,0.058879065720441014,0.005470462496512548,478,0.34652192160123274,0.3694892617356268,0.15121532437438437,0.10258679812707641,0.010656197104048951,231.0,0.5559323489781653,0.19525964146463393,0.10263755340935249,0.08331878347406503,0.009965652406388225,1800
16640,166402,WT,3m,0.48905612543085525,0.22479769650139922,0.12250288346831957,0.10799844900919833,0.011900153652152355,1149,0.5908086327554416,0.17353535531004916,0.10318577727644936,0.09498260401194243,0.008656661051094989,507,0.300069469524227,0.38568128000259033,0.16485478353544494,0.1214276053177405,0.012431426144928164,144.0,0.5025974825214169,0.22322949041259757,0.1204500505629795,0.10540665183965463,0.011029071702276596,1800
16640,166402,WT,3m,0.44668327229612903,0.22543507687814734,0.14486109418321846,0.1267030855668123,0.014148059971169831,1129,0.5592801393572566,0.1793355101421408,0.12108091423398806,0.1062775406270234,0.009731676844614609,507,0.24697524452859215,0.40533642478451615,0.17944923630107026,0.13717985138281763,0.015889334241194986,164.0,0.4602024362106378,0.22884137727897463,0.14131437422381174,0.12190444018311893,0.013062761490681292,1800
16640,166402,WT,3m,0.4916075771400491,0.20492334204119836,0.12376732869646001,0.12052472983613627,0.01267859706418651,1205,0.5655239368664146,0.170450794275848,0.11289679999103858,0.11520221037131649,0.01017834584311267,447,0.2833395634852987,0.37419332140700434,0.1716615869611684,0.14014926190374546,0.01417118376699719,148.0,0.4928392142382615,0.21028041320510263,0.12500578641415636,0.12081654347237612,0.01218042513985094,1800
16640,166402,WT,3m,0.39317840947091615,0.18005287471659373,0.10809347841677065,0.25820134083690555,0.01384083695670922,1002,0.5550778809381829,0.16281367184740428,0.10875905648150355,0.11859903925117624,0.009370122663104734,485,0.2522099465368357,0.36517207955776876,0.1726303192026591,0.17857535370855415,0.015384138534133306,274.0,0.41583365354683116,0.2041083254462502,0.11831829371303917,0.20736395483903672,0.012849677501749554,1761
16645,166451,WT,3m,0.5398802915434362,0.21281706610944556,0.10260764248280586,0.06976997555387439,0.021593500867993286,1106,0.6595526736214194,0.1387637377170051,0.07064527625435156,0.044262153447074355,0.017050867977170953,461,0.33744150711695275,0.3815647183554829,0.1565653428025558,0.08337642590159001,0.020763603929131694,233.0,0.5443251423026471,0.21569463198967426,0.10140624989568604,0.06499841829819825,0.020322656562757817,1800
