feature,timepoint,tp_x,wt_mean,wt_sem,ko_mean,ko_sem,cohens_d,pval,n_wt,n_ko,scenario,pval_fdr,sig
wake_theta_beta,7m,7,2.6262313499019556,0.2966784975627699,2.5879139719936988,0.20544587746039847,-0.05538161724158469,0.8518148518148518,8,6,A_animal,1.0,ns
wake_slow_fast,7m,7,76.51363690753442,42.71197346042004,14.799620973858877,4.500154422042859,-0.719455227734463,0.5727605727605728,8,6,A_animal,1.0,ns
wake_high_freq_idx,7m,7,0.19585687460212148,0.024189906822865426,0.18203250357333498,0.011095875758820671,-0.2655606928700641,0.5727605727605728,8,6,A_animal,1.0,ns
wake_spectral_entropy,7m,7,0.8017790167039858,0.034254501191830336,0.7753164721886997,0.04223422604809784,-0.2640363368318783,0.4135864135864136,8,6,A_animal,1.0,ns
wake_ap_exp,7m,7,1.6903594929877488,0.08901541861211938,1.7078981456337428,0.061147674101885124,0.08466548041176468,0.5727605727605728,8,6,A_animal,1.0,ns
wake_total_var,7m,7,0.8226473800787515,0.20545896444213285,1.4398839583718974,0.49861699633418144,0.6453716401534512,0.22843822843822847,8,6,A_animal,1.0,ns
wake_rms,7m,7,0.35860658345562574,0.058202683726402596,0.5455591746751198,0.12346250917462759,0.7678570632879871,0.18115218115218118,8,6,A_animal,1.0,ns
wake_p2p,7m,7,1.9748257455756972,0.24129409587772446,3.112216781190535,0.5646024929621327,1.042986840207345,0.05927405927405928,8,6,A_animal,1.0,ns
wake_zcr,7m,7,0.08566152567172951,0.009692950915250654,0.12103967011246186,0.04115404319007617,0.4789242899838257,1.0,8,6,A_animal,1.0,ns
wake_coeff_var,7m,7,47.25764382138607,29.51761026423466,16.68737341073086,10.145583411290904,-0.4963101350018203,0.662004662004662,8,6,A_animal,1.0,ns
wake_hjorth_mob,7m,7,0.2938544385357342,0.027193636263951843,0.38415803416568134,0.11195628330206787,0.4483868198836088,0.9497169497169498,8,6,A_animal,1.0,ns
wake_hjorth_comp,7m,7,5.903769279500073,1.246649477510064,4.495303341092613,0.34032109286052087,-0.549746188920653,0.662004662004662,8,6,A_animal,1.0,ns
wake_lzc,7m,7,0.050460445850874766,0.0003231349894482207,0.05060439306560157,0.00031230805448286935,0.17078895590458856,0.662004662004662,8,6,A_animal,1.0,ns
nrem_bp_delta,7m,7,0.00121604724033647,0.0003918191152595383,0.014635493063540941,0.008978670659621176,0.861809257916513,0.2823842823842824,8,6,A_animal,1.0,ns
nrem_bp_theta,7m,7,0.0017755971164773545,0.0006550349244566579,0.011955159701801776,0.005311617143543453,1.0954241777491271,0.344988344988345,8,6,A_animal,1.0,ns
nrem_bp_alpha,7m,7,0.0009558171938747942,0.0003806475275429542,0.005508520188312057,0.00237897872982108,1.086496210089545,0.344988344988345,8,6,A_animal,1.0,ns
nrem_bp_beta,7m,7,0.0008138726045306244,0.00033528800511332875,0.0051063032545565655,0.002406108742254944,1.016893889650379,0.2823842823842824,8,6,A_animal,1.0,ns
nrem_bp_gamma,7m,7,0.00039989058301550693,0.000152639100135046,0.0026487983668829814,0.0013051692834597,0.9858610667582965,0.2823842823842824,8,6,A_animal,1.0,ns
nrem_rbp_delta,7m,7,0.2959640888251423,0.030571773356048593,0.3124125491325094,0.04269836527153953,0.1714126855446699,0.9497169497169498,8,6,A_animal,1.0,ns
nrem_rbp_theta,7m,7,0.33292413603936233,0.009716414599445243,0.32567346493935606,0.034998956007003666,-0.11389934063689018,0.662004662004662,8,6,A_animal,1.0,ns
nrem_rbp_alpha,7m,7,0.16140271267476147,0.00972953908897787,0.14916924472407816,0.01711238634407088,-0.34502837153442845,0.4908424908424909,8,6,A_animal,1.0,ns
nrem_rbp_beta,7m,7,0.13112037090614861,0.014885878075184636,0.13149727284479715,0.011983883818829456,0.010384912545424065,0.9497169497169498,8,6,A_animal,1.0,ns
nrem_rbp_gamma,7m,7,0.07858869007919347,0.01182236850683203,0.08124710623963101,0.009844974595013906,0.09119127647461732,0.9497169497169498,8,6,A_animal,1.0,ns
nrem_td_ratio,7m,7,1.3724603311987167,0.16287063868288115,1.336211465951325,0.22085472200787157,-0.07214682414402508,1.0,8,6,A_animal,1.0,ns
nrem_theta_alpha,7m,7,2.4592078306797354,0.12445846587689852,2.6150509129551174,0.14405001312840235,0.44218881035649454,0.662004662004662,8,6,A_animal,1.0,ns
nrem_theta_beta,7m,7,3.1425871430023333,0.4082042858697647,3.0272947155293735,0.4667696662194816,-0.10034367711182594,0.8518148518148518,8,6,A_animal,1.0,ns
nrem_slow_fast,7m,7,4.084312083440666,0.8198828757258598,3.7549964205433497,0.3717042272522395,-0.1869385371228556,0.9497169497169498,8,6,A_animal,1.0,ns
nrem_high_freq_idx,7m,7,0.20970906098534214,0.024157524755063733,0.2127443790844282,0.01883528731977861,0.05206562689765198,0.9497169497169498,8,6,A_animal,1.0,ns
nrem_spectral_entropy,7m,7,0.8801788798169485,0.02005059721445589,0.8648067041515223,0.024341911916418903,-0.26418710756847436,0.4908424908424909,8,6,A_animal,1.0,ns
nrem_ap_exp,7m,7,1.6527882934300955,0.10874688342175215,1.61180853780124,0.09656697943034297,-0.1493592772644754,0.8518148518148518,8,6,A_animal,1.0,ns
nrem_total_var,7m,7,0.005449278535862163,0.001953698022576482,0.04491302649630503,0.022182900792675028,1.0218451381636335,0.2823842823842824,8,6,A_animal,1.0,ns
